,Nombre,Domicilio,Localidad,Departamento,Provincia,CP,Latitud,Longitud,Gestion,Pantallas,Butacas
88,Atlantica Yanel,Calle 32 372,Santa Teresita - Mar del Tuyu,La Costa (Buenos Aires),Buenos Aires,7107,-36.534911,-56.694027,Privado comercial,2,635
89,Atlantico,Calle 41 258,Santa Teresita - Mar del Tuyu,La Costa (Buenos Aires),Buenos Aires,7107,-36.54343,-56.700912,Privado comercial,1,1107
90,Cinemacenter Tandil,Panama 351,Tandil,Tandil (Buenos Aires),Buenos Aires,7000,-37.324258,-59.114758,Privado comercial,4,758
91,Espacio INCAA Unicen,Yrigoyen 662,Tandil,Tandil (Buenos Aires),Buenos Aires,7000,-37.3261317,-59.1385772,Público nacional,1,430
92,Centro Cultural Municipal Dr. Ricardo Romera,Av. 9 De Julio Y Av. San Martin,Tapalque,Tapalque (Buenos Aires),Buenos Aires,7303,-36.356939,-60.025212,Público municipal,1,264
93,Hoyts Temperley,Av. Hipolito Irigoyen 10699,Lomas de Zamora,Lomas de Zamora (Buenos Aires),Buenos Aires,1834,-34.781692,-58.406675,Privado comercial,9,2382
94,Cinemark Tortuguitas,Constituyentes Y Au. Panamericana Km 36.5,Malvinas Argentinas,Malvinas Argentinas (Buenos Aires),Buenos Aires,1667,-34.453372,-58.728969,Privado comercial,8,1905
95,Cine Barrio Alegre,9 De Julio 133,Trenque Lauquen,Trenque Lauquen (Buenos Aires),Buenos Aires,6400,-35.972252,-62.73485,Privado comercial,1,1200
96,Cine Teatro Español,Monteverde 257,Tres Lomas,Tres Lomas (Buenos Aires),Buenos Aires,6409,-36.457207,-62.862913,Privado comercial,1,300
97,Cine Teatro Jose Hernandez,Balcarce 2973,General San Martin,General San Martin (Buenos Aires),Buenos Aires,1653,-34.550658,-58.55834,Privado comercial,1,660
98,Victor Show Cinemas,El Payador 5539,Tres de Febrero,Tres de Febrero (Buenos Aires),Buenos Aires,1682,-34.58918,-58.573161,Privado comercial,3,413
99,Atlantic,Paseo 105 Entre 3 Y 2,Villa Gesell,Villa Gesell (Buenos Aires),Buenos Aires,7165,-37.25143,-56.976791,Privado comercial,1,400
100,Cine Teatro Coliseo,19 De Marzo 314,Zarate,Zarate (Buenos Aires),Buenos Aires,2800,-34.097529,-59.022145,Privado comercial,1,300
101,Cinemacenter Catamarca,Av. Guemes 850,San Fernando del Valle de Catamarca,Capital (Catamarca),Catamarca,4700,-28.475867,-65.774581,Privado comercial,5,914
102,Cines Del Solar,Intendente Mamerto Medina 220,San Fernando del Valle de Catamarca,Capital (Catamarca),Catamarca,4700,-28.464737,-65.800675,Privado comercial,5,743
103,Cinemacenter Avalos,Av. Avalos y Av. Lavalle,Resistencia,San Fernando (Chaco),Chaco,3500,-27.438214,-58.987038,Privado comercial,5,792
104,Cinemacenter Resistencia,Av. Dr. Sabin y Av. Nicolas Avellaneda,Resistencia,San Fernando (Chaco),Chaco,3500,-27.438747,-58.987285,Privado comercial,3,690
105,Los Cines De La Costa - Sarmiento,Av. Sarmiento 2600,Resistencia,San Fernando (Chaco),Chaco,3500,-27.430995,-58.962672,Privado comercial,5,820
106,Cine Coliseo,San Martin 570,Comodoro Rivadavia,Escalante (Chubut),Chubut,9000,-45.861057,-67.482581,Privado comercial,1,380
107,Cine Teatro Español,San Martin 668,Comodoro Rivadavia,Escalante (Chubut),Chubut,9000,-45.861071,-67.484072,Privado comercial,1,463
108,Auditorio Municipal De Esquel,Belgrano 330,Esquel,Futaleufu (Chubut),Chubut,9200,-42.914332,-71.33242,Público municipal,1,243
109,Sociedad Italiana - Auditorium Puerto Madryn,28 De Julio 129,Puerto Madryn,Biedma (Chubut),Chubut,9120,-42.766251,-65.035369,Privado comercial,2,486
110,Centro Cultural Jose Hernandez,Dr. Jorge Galina S/N y Mitre,Rawson,Rawson (Chubut),Chubut,9103,-43.299858,-65.099487,Privado comercial,1,400
111,Coliseo,Belgrano 375,Trelew,Rawson (Chubut),Chubut,9100,-43.252784,-65.307667,Privado comercial,1,380
112,Espacio INCAA Km 1460,9 De Julio 655,Trelew,Rawson (Chubut),Chubut,9100,-43.253461,-65.316231,Público municipal,1,100
113,Salon Municipal de Cine,28 De Julio 414,Trevelin,Futaleufu (Chubut),Chubut,9203,-43.079516,-71.463135,Público municipal,1,150
114,Angeba,Lavalle 750,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1047,-34.6024845,-58.3773438,Privado comercial,4,100
115,Arte Multiplex,Av. Cabildo 2829,Ciudad Autonoma de Buenos Aires,CABA (Ciudad Autónoma de Buenos Aires),Ciudad Autónoma de Buenos Aires,1428,-34.55597,-58.461705,Privado comercial,5,792
