,Nombre,Domicilio,Localidad,Departamento,Provincia,CP,Latitud,Longitud,Gestion,Pantallas,Butacas
158,Guillermo J. Nolter,Moreno Y Sarmiento,Canals,Union (Córdoba),Córdoba,2650,-33.561974,-62.881592,Privado comercial,1,200
159,Enrique Muiño,Dean Funes 526,Capilla del Monte,Punilla (Córdoba),Córdoba,5184,-30.8588602,-64.5249864,Privado comercial,1,413
160,Cines Gran Rex,Av. Gral. Paz 174,Cordoba,Capital (Córdoba),Córdoba,5000,-31.413467,-64.185517,Privado comercial,8,1201
161,Complejo Cinerama,Av. Colon 345,Cordoba,Capital (Córdoba),Córdoba,5000,-31.41215,-64.18797,Privado comercial,4,755
162,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,Cordoba,Capital (Córdoba),Córdoba,5014,-31.455392,-64.139799,Privado comercial,2,307
163,Dinosaurio Mall Alto Verde,Rodriguez Del Busto 4086,Cordoba,Capital (Córdoba),Córdoba,5009,-31.374331,-64.222543,Privado comercial,7,1193
164,Dinosaurio Mall Ruta 20,Av. Fuerza Aerea 1700,Cordoba,Capital (Córdoba),Córdoba,5009,-31.430367,-64.213755,Privado comercial,7,1385
165,Hoyts Nuevo Centro Cordoba,Duarte Quiros 1400,Cordoba,Capital (Córdoba),Córdoba,5000,-31.413218,-64.204384,Privado comercial,6,960
166,Hoyts Patio Olmos,Av. Velez Sarsfield 361,Cordoba,Capital (Córdoba),Córdoba,5000,-31.419463,-64.188813,Privado comercial,8,986
167,Showcase Cordoba,J.A. Goyechea 2851,Cordoba,Capital (Córdoba),Córdoba,5009,-31.37983,-64.214238,Privado comercial,12,2386
168,Cine Arte Córdoba,27 De Abril 275,Cordoba,Capital (Córdoba),Córdoba,5000,-31.415918,-64.188507,Privado comercial,1,210
169,Cine Aida,Thomas Edison 2126,Cruz del Eje,Cruz del Eje (Córdoba),Córdoba,5280,-30.721123,-64.809898,Privado comercial,1,444
170,Cine Teatro Coop Luz y Fuerza,Mitre 31,Elena,Rio Cuarto (Córdoba),Córdoba,5815,-32.571612,-64.393329,Privado comercial,1,279
171,Las Tipas Jesus Maria,Ruta Nacional 9 Esq. Corrientes,Jesus Maria,Colon (Córdoba),Córdoba,5220,-30.977117,-64.08461,Privado comercial,3,623
172,Las Tipas Morteros,Bv. Illia 232,Morteros,San Justo (Córdoba),Córdoba,2421,-30.709913,-62.004292,Privado comercial,2,300
173,Centro Cultural Leonardo Favio,Buenos Aires 55,Rio Cuarto,Rio Cuarto (Córdoba),Córdoba,5800,-33.124306,-64.349166,Público provincial,1,219
174,Cines Del Paseo,Av. Mugnaini Y Sobremonte,Rio Cuarto,Rio Cuarto (Córdoba),Córdoba,5800,-33.118053,-64.346569,Privado comercial,4,955
175,Strike,Velez Sarfield 143,Rio Tercero,Tercero Arriba (Córdoba),Córdoba,5850,-32.173616,-64.112293,Privado comercial,2,400
176,Dinosaurio Mall Salsipuedes,Av. Sarmiento 1007,Salsipuedes,Colon (Córdoba),Córdoba,5113,-31.126828,-64.296023,Privado comercial,2,322
177,Las Tipas San Francisco,Iturraspe 1448,San Francisco,San Justo (Córdoba),Córdoba,2400,-31.429048,-62.082118,Privado comercial,3,620
178,Espacio Incaa Unquillo,San Martin 1505,Unquillo,Colon (Córdoba),Córdoba,5109,-31.2376037,-64.3120955,Público municipal,1,220
179,Sala C.E.Y.A.L,Av. Carlos S. Yde 1056,Vicuna Mackenna,Rio Cuarto (Córdoba),Córdoba,6140,-33.92201,-64.391679,Privado comercial,1,850
180,Showcase Villa Allende,Rio De Janeiro 1725,Villa Allende,Colon (Córdoba),Córdoba,5105,-31.29374,-64.290766,Privado comercial,3,563
181,Holiday Cines,9 De Julio 53,Villa Carlos Paz,Punilla (Córdoba),Córdoba,5152,-31.42071,-64.499959,Privado comercial,4,1000
182,Cine General Paz,Sarmiento 731,Villa del Rosario,Rio Segundo (Córdoba),Córdoba,5963,-31.553891,-63.53414,Privado comercial,1,412
183,Eter Cine,Felipe Erdman 145,Villa Dolores,San Javier (Córdoba),Córdoba,5870,-31.944437,-65.192108,Privado comercial,2,400
184,Centro Cultural Leonardo Favio,Av. Sabattini 200,Villa Maria,General San Martin (Córdoba),Córdoba,5900,-32.410815,-63.248169,Público municipal,1,200
185,Sudcinemas,"Ruta Nacional 158 Km 155,5",Villa Maria,General San Martin (Córdoba),Córdoba,5900,-32.41003,-63.262294,Privado comercial,4,800
186,Sunstar Cordoba,Ricardo Rojas 9200,Cordoba,Capital (Córdoba),Córdoba,5008,-31.335765,-64.289746,Privado comercial,6,1398
187,Fantasio,Salta 1059,Bella Vista,Bella Vista (Corrientes),Corrientes,3432,-28.508494,-59.045464,Privado comercial,1,240
188,Cinemacenter Corrientes,Av. Pedro Ferre y Chacabuco,Corrientes,Capital (Corrientes),Corrientes,3400,-27.46464,-58.810635,Privado comercial,5,1140
189,De La Costa Costanera,Carlos Pellegrini 451/311,Corrientes,Capital (Corrientes),Corrientes,3400,-27.464752,-58.843015,Privado comercial,2,358
190,De La Costa Shopping,Av. Centenario 3535,Corrientes,Capital (Corrientes),Corrientes,3400,-27.481359,-58.766998,Privado comercial,4,562
191,Sociedad Rural,Beron De Astrada 641,Curuzu Cuatia,Curuzu Cuatia (Corrientes),Corrientes,3460,-29.790473,-58.054474,Privado comercial,1,300
192,Cines del Litoral Goya,España 659,Goya,Goya (Corrientes),Corrientes,3450,-29.144283,-59.266741,Privado comercial,2,370
193,Cine Teatro Opera,Los 108 941,Paso de los Libres,Paso de los Libres (Corrientes),Corrientes,3230,-29.7137101,-57.0855601,Privado comercial,1,200
194,Cine Boulevard,Av. Illia Y Chocho Vivanco,Gualeguay,Gualeguay (Entre Ríos),Entre Ríos,2840,-33.127799,-59.322437,Privado comercial,2,440
195,Cine Gran Libertad,3 De Febrero 3060,Chajari,Federacion (Entre Ríos),Entre Ríos,3228,-30.759415,-57.984929,Privado comercial,1,400
196,Starlight Cinema Digital,Calle 12 De Abril 287,Colon,Colon (Entre Ríos),Entre Ríos,3280,-32.22154,-58.138713,Privado comercial,2,154
197,Cine Teatro San Martin,Estrada 820,Concepcion del Uruguay,Uruguay (Entre Ríos),Entre Ríos,3260,-32.48,-58.235156,Privado comercial,1,457
198,Teatro Gran Odeon,Entre Rios 567,Concordia,Concordia (Entre Ríos),Entre Ríos,3200,-31.398151,-58.018999,Privado comercial,1,664
199,Altos Del Gualeguay,Rocamora 33,Gualeguay,Gualeguay (Entre Ríos),Entre Ríos,2840,-33.150323,-59.311609,Privado comercial,1,198
200,Cinema Gualeguaychu,25 De Mayo 1383,Gualeguaychu,Gualeguaychu (Entre Ríos),Entre Ríos,2820,-33.009937,-58.525474,Privado comercial,1,330
201,Cine Circulo Obrero,Andres Pazos 339,Parana,Parana (Entre Ríos),Entre Ríos,3100,-31.732929,-60.524631,Privado comercial,2,300
202,Cine Urquiza,25 De Mayo 1849,San Jose,Colon (Entre Ríos),Entre Ríos,3283,-32.212515,-58.217901,Privado comercial,1,250
203,Sala Municipal Cine Teatro Victoria,Alem 64,Victoria,Victoria (Entre Ríos),Entre Ríos,3153,-32.6202247,-60.1572386,Público municipal,1,299
204,Cine Teatro Berisso,San Martin 540,Villaguay,Villaguay (Entre Ríos),Entre Ríos,3240,-31.865115,-59.027433,Privado comercial,1,350
205,El Pajarito Avenida,Av. Juan Domingo Peron 757,Formosa,Formosa (Formosa),Formosa,3600,-26.169497,-58.181483,Privado comercial,3,619
206,Cine Teatro Altos Hornos Zapla,Av. Rio De La Plata 383,Palpala,Palpala (Jujuy),Jujuy,4612,-24.2575926,-65.213095,Privado comercial,1,1100
207,Cine Auditorium,Independencia Esq. Italia S/N,San Salvador de Jujuy,Dr. Manuel Belgrano (Jujuy),Jujuy,4600,-24.187252,-65.292851,Otro,1,201
208,Cine Teatro Alfa,Patricias Argentinas 360,San Salvador de Jujuy,Dr. Manuel Belgrano (Jujuy),Jujuy,4600,-24.184494,-65.311156,Privado comercial,2,856
209,Barbarita Cruz,Belgrano 547,Tilcara,Tilcara (Jujuy),Jujuy,4624,-23.577105,-65.393961,Privado comercial,1,120
210,Espacio Incaa-Cine & Teatro Pico,Calle 17 957,General Pico,Maraco (La Pampa),La Pampa,6360,-35.6605302,-63.7528695,Privado comercial,1,534
211,Gran Pampa,Calle 20 642,General Pico,Maraco (La Pampa),La Pampa,6360,-35.658982,-63.753935,Privado comercial,1,730
212,Amadeus,Coronel Gil 31,Santa Rosa,Capital (La Pampa),La Pampa,6300,-36.619904,-64.289902,Privado comercial,1,223
213,Milenium,Escalante 270,Santa Rosa,Capital (La Pampa),La Pampa,6300,-36.623122,-64.294797,Privado comercial,1,352
214,Sala Auditorio Juan C. Bustriazo Ortiz,Quintana 172,Santa Rosa,Capital (La Pampa),La Pampa,6300,-36.6188275,-64.2933999,Público municipal,1,118
215,Cine El Progreso,9 De Julio 85,Aimogasta,Arauco (La Rioja),La Rioja,5310,-28.5600409,-66.8106825,Otro,1,285
216,Cinema 3D Chilecito,La Plata y 19 De Febrero,Chilecito,Chilecito (La Rioja),La Rioja,5360,-29.163011,-67.495688,Privado comercial,2,216
217,Cinema 3D Pelagio B. Luna,Pelagio Luna 960,La Rioja,Capital (La Rioja),La Rioja,5300,-29.412799,-66.861693,Privado comercial,2,292
218,Cinema 3D San Martin,San Martin 62,La Rioja,Capital (La Rioja),La Rioja,5300,-29.41478,-66.857701,Privado comercial,1,72
219,Cinemacenter La Rioja,Av. Abel Bazan Y Bustos 710,La Rioja,Capital (La Rioja),La Rioja,5300,-29.4115252,-66.8581498,Privado comercial,4,769
220,Espacio 73,Catamarca 73,La Rioja,Capital (La Rioja),La Rioja,5300,-29.412852,-66.8593276,Público provincial,1,128
221,Cineteatro Antonio Lafalla,Av. Alvear Oeste 437,General Alvear,General Alvear (Mendoza),Mendoza,5620,-34.9783447,-67.6949329,Público municipal,1,122
222,Cinemark Palmares,Ruta Panamericana 2650,Godoy Cruz,Godoy Cruz (Mendoza),Mendoza,5501,-32.952537,-68.855684,Privado comercial,10,1681
223,Tadicor Las Heras,Juan Dragui Lucero 1450,Las Heras,Las Heras (Mendoza),Mendoza,5539,-32.853189,-68.808148,Privado comercial,2,284
224,Cine Teatro Imperial,Pablo Pescara Y Peron,Maipu,Maipu (Mendoza),Mendoza,5515,-32.9829303,-68.7872276,Privado comercial,1,600
225,Cinepolis Arena Maipu,Emilio Civit Y Maza,Maipu,Maipu (Mendoza),Mendoza,5515,-32.974843,-68.796178,Privado comercial,5,949
226,Sala Maiten,Ruta 40 Norte Y Pje Orteguina,Malargue,Malargue (Mendoza),Mendoza,5613,-35.48035,-69.58467,Público municipal,1,160
227,Cine Universidad,Juan Agustín Maza 250,Mendoza,Capital (Mendoza),Mendoza,5500,-32.888547,-68.837395,Público nacional,2,350
228,Cinemacenter Mendoza,Las Cañas 1833,Mendoza,Capital (Mendoza),Mendoza,5519,-32.912576,-68.820262,Privado comercial,6,1361
229,Cinepolis Mendoza,Av. Acceso Este 3280 Lateral Norte,Mendoza,Capital (Mendoza),Mendoza,5521,-32.902037,-68.798003,Privado comercial,10,2344
230,Microcine Municipal David Eisenchlas,9 De Julio 500,Mendoza,Capital (Mendoza),Mendoza,5500,-32.896563,-68.842488,Público municipal,1,115
231,Porky`S,Lavalle 32,Mendoza,Capital (Mendoza),Mendoza,5500,-32.888518,-68.838264,Privado comercial,1,70
232,Centro Cultural Juan Centorbi,Lavalle 740,Rivadavia,Rivadavia (Mendoza),Mendoza,5577,-33.193378,-68.46537,Público municipal,1,963
233,Cine Cervantes San Martin,9 De Julio 187,San Martin,San Martin (Mendoza),Mendoza,5570,-33.080928,-68.471596,Privado comercial,1,328
234,Tadicor San Martin,Lateral Sur Ruta Nacional 7 Sin Nro,San Martin,San Martin (Mendoza),Mendoza,5570,-32.853468,-68.808184,Privado comercial,2,302
235,Centro Cultural San Rafael del Diamante,Av. Hipolito Yrigoyen 280,San Rafael,San Rafael (Mendoza),Mendoza,5600,-34.6148225,-68.3331498,Público municipal,1,690
236,Cine Amelix,San Martin 139,San Rafael,San Rafael (Mendoza),Mendoza,5600,-34.614613,-68.329305,Privado comercial,2,359
237,Cinema Américo,La Gloria 1777,Tupungato,Tupungato (Mendoza),Mendoza,5561,-33.3494216,-69.1512149,Privado comercial,1,113
238,Cine Teatro Obera,San Martin 1069,Obera,Obera (Misiones),Misiones,3360,-27.488208,-55.122305,Público municipal,1,220
239,Microcines Obera,Av. Sarmiento 1044,Obera,Obera (Misiones),Misiones,3360,-27.48614,-55.123172,Privado comercial,2,292
240,Imax Del Conocimiento,Ruta 12 Y Acceso Oeste (Av. Ulises Lopez),Posadas,Capital (Misiones),Misiones,3300,-27.396198,-55.963477,Público provincial,1,546
241,Sunstar Posadas,Bolivar 1979,Posadas,Capital (Misiones),Misiones,3300,-27.366775,-55.895626,Privado comercial,4,559
242,Cinemark Neuquén,Av. Dr. Ramón 355,Neuquen,Confluencia (Neuquén),Neuquén,8300,-38.9420114,-68.064777,Privado comercial,6,1113
243,Auditorio Casa de la Cultura,Perón y 20 de Diciembre,Rincon de los Sauces,Pehuenches (Neuquén),Neuquén,8319,-37.389866,-68.923387,Público municipal,1,98
244,Cine Rex Cutral Co,Av. Del Trabajo 676,Cutral Co,Confluencia (Neuquén),Neuquén,8200,-38.937145,-69.228886,Privado comercial,1,290
245,Cine Teatro Español,Av. Argentina 245,Neuquen,Confluencia (Neuquén),Neuquén,8300,-38.952502,-68.0588685,Privado comercial,1,639
246,Cinepolis Neuquen,Av. Antartida Argentina 1111,Neuquen,Confluencia (Neuquén),Neuquén,8300,-38.947535,-68.080141,Privado comercial,7,1894
247,Centro Cultural Cotesma,Gral. Roca 1154,San Martin de los Andes,Lacar (Neuquén),Neuquén,8370,-40.157383,-71.3518372,Privado comercial,2,398
248,Cine Teatro Municipal Amado Sapag,San Martin 281,Zapala,Zapala (Neuquén),Neuquén,8340,-38.9035456,-70.0649182,Público municipal,1,738
249,Lorenzo Kelly,Fernandez Oro 55,Cipolletti,General Roca (Río Negro),Río Negro,8324,-38.940545,-68.0012023,Público municipal,1,140
250,Sunstar Bariloche,Onelli 447,San Carlos de Bariloche,Bariloche (Río Negro),Río Negro,8400,-41.133472,-71.310278,Privado comercial,3,461
251,Cine Teatro Español,Av. Roca 326,Cinco Saltos,General Roca (Río Negro),Río Negro,8303,-38.828301,-68.064467,Privado comercial,1,320
252,Cine Rex Gral. Roca,Av. Roca 1585,General Roca,General Roca (Río Negro),Río Negro,8332,-39.027377,-67.575436,Privado comercial,2,300
253,Cine Rex Viedma,Gallardo 160,Viedma,Adolfo Alsina (Río Negro),Río Negro,8500,-40.810812,-62.988497,Privado comercial,1,350
254,Cine Teatro Circulo Italiano,Av. Rivadavia 117,Villa Regina,General Roca (Río Negro),Río Negro,8336,-39.0932636,-67.0839256,Privado comercial,1,661
255,Cine Municipal De La Cultura Oran,Hipolito Yrigoyen 137,San Ramon de la Nueva Oran,Oran (Salta),Salta,4530,-23.1351322,-64.3222154,Público municipal,1,280
256,Cine Opera,Urquiza 560,Salta,Capital (Salta),Salta,4400,-24.792403,-65.410758,Privado comercial,2,682
257,Cine Rex,Av. San Martin 1170,Salta,Capital (Salta),Salta,4400,-24.792967,-65.419175,Privado comercial,2,353
258,Cinemark Salta,Av. Monseñor Tavella 4400,Salta,Capital (Salta),Salta,4400,-24.832302,-65.428458,Privado comercial,5,897
259,Hoyts Nuevo Noa,Virrey Toledo 702,Salta,Capital (Salta),Salta,4400,-24.781472,-65.403547,Privado comercial,8,1362
260,Cine Club Center,20 De Febrero 19,San Jose de Metan (Est. Metan),Metan (Salta),Salta,4440,-25.4998463,-64.974178,Privado comercial,1,80
261,Open Plaza,Guemes 421,Tartagal,Grl. Jose de San Martin (Salta),Salta,4560,-22.515933,-63.805018,Privado comercial,1,220
262,Cinemacenter San Juan,Av. Circunvalacion Y Scalabrini Ortiz,San Juan,Capital (San Juan),San Juan,5400,-31.522593,-68.542604,Privado comercial,8,1803
263,CPM Espacio San Juan,Av. Jose Ignacio De La Roza Oeste 806,San Juan,Capital (San Juan),San Juan,5417,-31.539871,-68.572839,Privado comercial,5,849
264,Play Cinema San Juan,Av. Libertador 1826 (Oeste),San Juan,Capital (San Juan),San Juan,5400,-31.531766,-68.551432,Privado comercial,6,1071
265,UPCN - San Juan,Sarmiento 461 Sur,San Juan,Capital (San Juan),San Juan,5400,-31.52639,-68.533644,Privado comercial,1,298
266,Cine Star Merlo,Av. Del Sol 1120,Merlo,Junin (San Luis),San Luis,5881,-32.346991,-64.998214,Privado comercial,1,100
267,Cinemacenter San Luis,J. A. Roca 260,San Luis,La Capital (San Luis),San Luis,5700,-33.309224,-66.327647,Privado comercial,7,1951
268,Cines Fenix,Pueyrredon 1651,Villa Mercedes,General Pedernera (San Luis),San Luis,5730,-33.663019,-65.464344,Privado comercial,3,475
269,Cine Municipal Caleta Olivia,J. Newbery y Deocarets S/N,Caleta Olivia,Deseado (Santa Cruz),Santa Cruz,9011,-46.437506,-67.52675,Privado comercial,1,350
270,Cine Select,Av. Gregorio Ibañez 388,Comandante Luis Piedrabuena,Corpen Aike (Santa Cruz),Santa Cruz,9303,-49.983691,-68.90921,Público municipal,1,288
271,Cine Municipal Abuelas de Plaza de Mayo,Av. San Martin 514,Gobernador Gregores,Rio Chico (Santa Cruz),Santa Cruz,9311,-48.750801,-70.246605,Público municipal,1,80
272,Osvaldo Jorge Bayer,13 De Diciembre Y Malvinas S/N,Las Heras,Deseado (Santa Cruz),Santa Cruz,9017,-46.538589,-68.944153,Privado comercial,1,196
273,"Cine Auditorio Deseado ESPACIO INCAA""""",Don Bosco 1075,Puerto Deseado,Deseado (Santa Cruz),Santa Cruz,9050,-47.7520538,-65.8951281,Privado comercial,1,142
274,Cine Teatro Talia,25 De Mayo 1188,Puerto San Julian,Magallanes (Santa Cruz),Santa Cruz,9310,-49.315227,-67.722103,Privado comercial,1,340
275,Auditorio Municipal,25 De Mayo 513,Puerto Santa Cruz,Corpen Aike (Santa Cruz),Santa Cruz,9300,-50.016472,-68.517896,Público municipal,1,150
276,Cine Rio Gallegos,Av. Nestor Kirchner 1142,Rio Gallegos,Guer Aike (Santa Cruz),Santa Cruz,9400,-51.619917,-69.218735,Privado comercial,3,290
277,Luna De Avellaneda,Av. San Martin 810,Avellaneda,General Obligado (Santa Fe),Santa Fe,3561,-29.118061,-59.654853,Privado comercial,1,299
278,Cine Teatro Libertador,Buenos Aires 2441,Casilda,Caseros (Santa Fe),Santa Fe,2170,-33.046245,-61.169568,Privado comercial,1,1014
279,E-Max Cines,Brigadier Lopez 1471,Esperanza,Las Colonias (Santa Fe),Santa Fe,3080,-31.450826,-60.895483,Privado comercial,3,584
280,Cine Teatro Municipal Manuel Belgrano,Bv. Santa Fe 555,Rafaela,Castellanos (Santa Fe),Santa Fe,2300,-31.2537076,-61.4856456,Público municipal,1,1049
281,Las Tipas Rafaela,C. Conscripto Zurbriggen 865,Rafaela,Castellanos (Santa Fe),Santa Fe,2300,-31.242567,-61.505319,Privado comercial,4,920
282,Cine Recite,Habegger 755,Reconquista,General Obligado (Santa Fe),Santa Fe,3560,-29.148596,-59.642839,Privado comercial,1,156
283,Arteon,Sarmiento 778,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.946182,-60.638166,Privado comercial,1,186
284,Centro Cultural Cine Lumiere,Velez Sarfield 1029,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.924992,-60.677156,Público municipal,1,420
285,Cinepolis Rosario,Eva Peron 5856,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.933053,-60.712949,Privado comercial,13,3458
286,Cines Del Centro,Rioja 1660,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.946177,-60.646324,Privado comercial,4,659
287,El Cairo,Santa Fe 1120,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.95144,-60.639437,Público provincial,1,442
288,Hoyts Rosario,Nansen 323,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.909461,-60.683084,Privado comercial,9,1911
289,Microcine De La Cortada,Ctda Ricardone 1244,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.94773,-60.640286,Privado comercial,1,96
290,Monumental Rosario,San Martin 993,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.94899,-60.637338,Privado comercial,9,1471
291,Showcase Rosario,Junin 501,Rosario,Rosario (Santa Fe),Santa Fe,2000,-32.926503,-60.670806,Privado comercial,14,3391
292,Sala Hispano,Av. Cobo 185,Rufino,General Lopez (Santa Fe),Santa Fe,6100,-34.2630949,-62.7115517,Público municipal,1,330
293,Las Tipas San Jorge,Eva Peron 1388,San Jorge,San Martin (Santa Fe),Santa Fe,2451,-31.895262,-61.8595,Privado comercial,1,260
294,Brown Cinema 3D,Cangallo 304,San Vicente,Castellanos (Santa Fe),Santa Fe,2447,-31.698952,-61.567196,Privado comercial,1,224
295,Cine America,25 De Mayo 3075,Santa Fe,La Capital (Santa Fe),Santa Fe,3000,-31.640525,-60.70422,Privado comercial,1,380
296,Cinemark Santa Fe,Dique 1 Puerto Santa Fe,Santa Fe,La Capital (Santa Fe),Santa Fe,3000,-31.648852,-60.70404,Privado comercial,7,1527
297,Cinema Casey,Av. Casey 790,Venado Tuerto,General Lopez (Santa Fe),Santa Fe,2600,-33.746371,-61.968125,Privado comercial,2,249
298,Cine Teatro Municipal Renzi,Av. Besares 151,La Banda,Banda (Santiago del Estero),Santiago del Estero,4300,-27.7317514,-64.2426123,Público municipal,1,152
299,Cinemacenter La Banda,Aut. Juan D. Peron S/N Parque Industrial,La Banda,Banda (Santiago del Estero),Santiago del Estero,4200,-27.762487,-64.244804,Privado comercial,3,822
300,Sunstar Santiago del Estero,Av. Rivadavia Y Ejercito Argentino,Santiago del Estero,Capital (Santiago del Estero),Santiago del Estero,4200,-27.78442,-64.267281,Privado comercial,5,1585
301,Nuevo Cine Rex,Bolivar 15,Termas de Rio Hondo,Rio Hondo (Santiago del Estero),Santiago del Estero,4220,-27.496838,-64.85833,Privado comercial,1,233
302,El Cine,9 De Julio 838,Rio Grande,Rio Grande (Tierra del Fuego),Tierra del Fuego,9420,-53.790081,-67.697959,Privado comercial,2,584
303,Cine Teatro Pakewaia,Yaganes Y Gob Paz (Base Naval),Ushuaia,Ushuaia (Tierra del Fuego),Tierra del Fuego,9410,-54.801912,-68.302951,Privado comercial,1,300
304,Sunstar Ushuaia,Av. Perito Moreno 1460,Ushuaia,Ushuaia (Tierra del Fuego),Tierra del Fuego,9410,-54.7999427,-68.2801151,Privado comercial,3,561
305,Atlas Vía 24,24 de Septiembre 757,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.8301689,-65.2087418,Privado comercial,2,264
306,Cine Popular San Miguel de Tucumán,Lavalle 688,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.8387931,-65.2094995,Privado comercial,1,50
307,Sala Hynes O´Connor,San Martín 251,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.8302371,-65.2005846,Público provincial,1,80
308,Cine Popular de Yerba Buena,Av. Aconquija 2060,Yerba Buena - Marcos Paz,Yerba Buena (Tucumán),Tucumán,4107,-26.8123017,-65.3003126,Privado comercial,1,50
309,Atlas Shopping Terminal,Av. Brigido Teran 250,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.834701,-65.194059,Privado comercial,2,219
310,Atlas Tucuman,Monteagudo 250,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.828516,-65.199312,Privado comercial,3,797
311,Cinemacenter Tucuman,Av. Nestor Kirchner(Ex Av. Roca) 3450,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.83447,-65.252298,Privado comercial,5,1051
312,Espacio Incaa Sala Orestes Caviglia,San Martin 251,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.8303703,-65.200703,Público provincial,1,183
313,Microcine Orion,Av. Mitre 817,San Miguel de Tucuman,Capital (Tucumán),Tucumán,4000,-26.817212,-65.215481,Público municipal,1,36
314,Solar del Cerro,Av. Aconquija 1336,Yerba Buena - Marcos Paz,Yerba Buena (Tucumán),Tucumán,4107,-26.814179,-65.288937,Privado comercial,5,750
315,Sunstar Tucuman,Av. Fermin Carriola 42,Yerba Buena - Marcos Paz,Yerba Buena (Tucumán),Tucumán,4107,-26.820976,-65.265894,Privado comercial,6,1295
