Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Seleccione el tipo de gestión,Cantidad de pantallas,Cantidad de butacas,Referente
"CPM Catan","Ruta 3 Km 29 Bj Manuel De Rosas 14457","La Matanza","La Matanza (Buenos Aires)","Buenos Aires","","","1759","s/d","s/d","https://cpmcines.com","","-34.76103200000000000000","-58.61558200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1114",""
"Showcase Cinemas Haedo","Dr. Luis Guemes 393","Moron","Moron (Buenos Aires)","Buenos Aires","","","1706","s/d","s/d","https://www.todoshowcase.com/","","-34.64406800000000000000","-58.59564300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","14","3890",""
"Tu Cine Junin","Jorge Newbery 263","Junin","Junin (Buenos Aires)","Buenos Aires","","","6000","s/d","s/d","http://www.tucine.com.ar","","-34.58354600000000000000","-60.94538700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","453",""
"Cine Municipal Ecoselect","19 Y 51","La Plata","La Plata (Buenos Aires)","Buenos Aires","","Piso 2","1900","s/d","s/d","http://www.cultura.laplata.gov.ar","Espacio INCAA","-34.92654600000000000000","-57.96157700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","60",""
"Cine Municipal Select","Calle 50 entre 6 y 7","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cultura.laplata.gov.ar/lugar/cine-municipal-select","Espacio INCAA","-34.91423980000000000000","-57.94922620000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","174",""
"Cinema 8","Calle 8 981","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cinemalaplata.com/","","-34.91699590000000000000","-57.94931480000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","1084",""
"Cinema City","Calle 50 723","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cinemalaplata.com/","","-34.91708720000000000000","-57.95242850000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","640",""
"Cinema Paradiso","Calle 46 780","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cinemalaplata.com","","-34.91573400000000000000","-57.95674200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","603",""
"Cinema Rocha","Calle 49 621","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cinemalaplata.com","","-34.91472000000000000000","-57.95089800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1613",""
"Cinema San Martin","Calle 7 923","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","s/d","s/d","http://www.cinemalaplata.com","","-34.91532090000000000000","-57.94927540000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","7","2184",""
"Coto Lanus","Warnes 2450","Lanus","Lanus (Buenos Aires)","Buenos Aires","","","1824","s/d","s/d","https://www.zonacines.com.ar","","-34.69019200000000000000","-58.41905700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","2037",""
"San Martin","San Martin 593","Las Flores","Las Flores (Buenos Aires)","Buenos Aires","","","7200","s/d","s/d","http://www.cinesanmartin3d.com.ar/","","-36.01559900000000000000","-59.09858300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","0",""
"Las Toninas","Calle 7 1564 Entre 36 Y 38","Las Toninas","La Costa (Buenos Aires)","Buenos Aires","","","7106","s/d","s/d","","","-36.49460400000000000000","-56.69602200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","245",""
"Cine Club Jorge Newbery","Av. Massey 839","Lincoln","Lincoln (Buenos Aires)","Buenos Aires","","","6070","s/d","s/d","https://www.facebook.com/clubjorgenewberylincoln/","Espacio INCAA","-34.86604200000000000000","-61.52790700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","483",""
"Cine Teatro Italiano","9 De Julio 142","Lobos","Lobos (Buenos Aires)","Buenos Aires","","","7240","s/d","s/d","https://www.facebook.com/teatrocineitaliano/","Espacio INCAA","-35.18483260000000000000","-59.09585510000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","350",""
"Cinemark Malvinas Argentinas","Av. Illia 3770","Malvinas Argentinas","Malvinas Argentinas (Buenos Aires)","Buenos Aires","","","1613","s/d","s/d","https://www.cinemarkhoyts.com.ar","","-34.53069700000000000000","-58.70311300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","2414",""
"Leonardo Favio","Mitre 841","Los Toldos","General Viamonte (Buenos Aires)","Buenos Aires","","","6015","s/d","s/d","","","-35.00025200000000000000","-61.03752500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","330",""
"Cinepolis Luján","R. Payró y Mario Bravo","Lujan","Lujan (Buenos Aires)","Buenos Aires","","","6702","s/d","s/d","https://www.cinepolis.com.ar/","","-34.54615300000000000000","-59.10946300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1182",""
"Cinema Rosso","Lavalle 410","Lujan","Lujan (Buenos Aires)","Buenos Aires","","","6700","s/d","s/d","www.cinemarossolujan.com/","","-34.56415200000000000000","-59.11585200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","197",""
"Cine Teatro Sociedad Italiana","Rivadavia 555","Maipu","Maipu (Buenos Aires)","Buenos Aires","","","7160","s/d","s/d","https://www.facebook.com/CineTeatroSociedadItalianaMaipu","Espacio INCAA","-36.86123100000000000000","-57.88315200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","450",""
"Atlantica California","Hipolito Irigoyen 18","Mar de Ajo - San Bernardo","La Costa (Buenos Aires)","Buenos Aires","","","7112","s/d","s/d","https://www.facebook.com/cinecaliforniamardeajo/","","-36.72659800000000000000","-56.67531300000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","551",""
"Ambassador","Cordoba 1673","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","http://www.cinemacenter.com.ar/","","-37.99907700000000000000","-57.54691400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","947",""
"Cine Cristal","Entre Rios 1783","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","","","-38.00220900000000000000","-57.54338800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","40",""
"Cines Paseo Aldrey","Alberti 1610","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","http://www.cinemacenter.com.ar/","","-38.01162000000000000000","-57.54293900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","6","1121",""
"Herodes","Belgrano 2327","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","","","-38.00241600000000000000","-57.54538600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","120",""
"Paseo Diagonal","Belgrano Y Diag. Pueyrredon 3058","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","","","-37.99894000000000000000","-57.55226200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","4","687",""
"T.E.Y.C.I. Cinema","Rivadavia 3050","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","http://www.cinemacenter.com.ar/","","-37.99796500000000000000","-57.55201900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","487",""
"Teatro Auditorium","Bv. Maritimo 2280","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","s/d","s/d","http://programacionauditorium.blogspot.com/","","-38.00671800000000000000","-57.54556100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público provincial","3","1563",""
"Hoyts Unicenter","Parana 3745","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","","1640","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.50892100000000000000","-58.52347100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","16","3427",""
"Cine Mercedes","Calle 20 728","Mercedes","Mercedes (Buenos Aires)","Buenos Aires","","","6600","s/d","s/d","http://cinemercedes.com/","","-34.65227800000000000000","-59.43305700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","190",""
"Cine Atlantico","Calle 21 1564","Miramar","General Alvarado (Buenos Aires)","Buenos Aires","","","7607","s/d","s/d","http://www.cineteatroatlantico.com.ar/","","-38.26812900000000000000","-57.84106600000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","1","902",""
"Hoyts Moreno","Av. Victorica 1128","Moreno","Moreno (Buenos Aires)","Buenos Aires","","","1744","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.63564700000000000000","-58.79196800000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","10","2476",""
"Hoyts Moron","Juan Manuel De Rosas 658","Moron","Moron (Buenos Aires)","Buenos Aires","","","1744","s/d","s/d","https://www.cinemarkhoyts.com.ar/","","-34.63496800000000000000","-58.62930500000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","8","1865",""
"T. Municipalidad G. De La Ferrere","Alte. Brown 990","Moron","Moron (Buenos Aires)","Buenos Aires","","","1708","s/d","s/d","http://www.moron.gob.ar","Espacio INCAA","-34.65118800000000000000","-58.62193100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","133",""
"Lumiton","Sargento Cabral 2354","Vicente Lopez","Vicente Lopez (Buenos Aires)","Buenos Aires","","","1605","s/d","s/d","https://lumiton.ar/","","-34.52791900000000000000","-58.51593400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","30",""
"Showcase Norte","E. Echeverria 3750","Vicente Lopez","Vicente Lopez (Buenos Aires)","Buenos Aires","","","1605","s/d","s/d","https://www.todoshowcase.com/","","-34.51434100000000000000","-58.52215100000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","17","4214",""
"Cine Ocean","Calle 83 350","Necochea - Quequen","Necochea (Buenos Aires)","Buenos Aires","","","7630","s/d","s/d","https://www.cinesocean.com.ar/","","-38.57961600000000000000","-58.73116400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","3","1620",""
"Cine Paris","General Paz 2720","Olavarria","Olavarria (Buenos Aires)","Buenos Aires","","","7400","s/d","s/d","http://www.cineparis.com.ar","","-36.89403900000000000000","-60.32394400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","383",""
"Flix Olavarria","Rivadavia 4730","Olavarria","Olavarria (Buenos Aires)","Buenos Aires","","","7400","s/d","s/d","http://olavarria.flixcinema.com.ar/","","-36.88081600000000000000","-60.30440900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","660",""
"Centro Cultural York","Juan Bautista Alberdi 895","Vicente Lopez","Vicente Lopez (Buenos Aires)","Buenos Aires","","","1636","s/d","s/d","https://www.facebook.com/cineteatroyorkolivos","","-34.50771500000000000000","-58.48496200000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","280",""
"Cinema Pergamino","Av. Mayo y San Nicolas","Pergamino","Pergamino (Buenos Aires)","Buenos Aires","","Piso 1","2700","s/d","s/d","http://vamosacinema.com/","","-33.89284000000000000000","-60.57232700000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","2","556",""
"Cine Teatro Municipal Pila "Padre Adolfo Anastasio"","Calle 6 y Calle 19","Pila","Pila (Buenos Aires)","Buenos Aires","","","7116","s/d","s/d","https://www.facebook.com/CineTeatroPila/","","-36.00007300000000000000","-58.14566400000000000000","","","INCAA / SInCA","Cine","Salas de cine","Público municipal","1","178",""
"Cinepolis Pilar","Panamericana Ac. Norte Km 50","Pilar","Pilar (Buenos Aires)","Buenos Aires","","","1629","s/d","s/d","https://www.villagecines.com/","","-34.45590600000000000000","-58.90832900000000000000","","","INCAA / SInCA","Cine","Salas de cine","Privado comercial","9","2675",""
